Entity,Code,Year,"Employment to population ratio, 15+, female (%) (national estimate)"
Afghanistan,AFG,2008,42.832
Afghanistan,AFG,2012,15.481
Afghanistan,AFG,2014,23.177
Afghanistan,AFG,2017,18.202
Afghanistan,AFG,2020,13.73
Afghanistan,AFG,2021,22.045
Albania,ALB,2002,43.666
Albania,ALB,2004,39
Albania,ALB,2005,39.608
Albania,ALB,2007,30.693
Albania,ALB,2008,39.392
Albania,ALB,2009,38.912
Albania,ALB,2010,39.437
Albania,ALB,2011,45.271
Albania,ALB,2012,43.23
Albania,ALB,2013,38.04
Albania,ALB,2014,37.157
Albania,ALB,2015,38.983
Albania,ALB,2016,42.536
Albania,ALB,2017,43.369
Albania,ALB,2018,45.223
Albania,ALB,2019,46.891
Algeria,DZA,1975,2.5
Algeria,DZA,1984,4.77
Algeria,DZA,2009,11.42
Algeria,DZA,2010,11.45
Algeria,DZA,2014,12.35
Algeria,DZA,2015,13.6
Algeria,DZA,2016,13.849
Algeria,DZA,2017,13.46
American Samoa,ASM,1990,40.33
Angola,AGO,2004,46.3
Angola,AGO,2009,59.205
Angola,AGO,2010,67.43
Angola,AGO,2011,69.56
Angola,AGO,2014,33.651
Angola,AGO,2019,60.942
Angola,AGO,2021,62.932
Antigua and Barbuda,ATG,1991,59.38
Antigua and Barbuda,ATG,2001,60.47
Argentina,ARG,1990,31.9
Argentina,ARG,1991,32
Argentina,ARG,1992,33.1
Argentina,ARG,1993,33.3
Argentina,ARG,1994,31.1
Argentina,ARG,1995,31.5
Argentina,ARG,1996,31.7
Argentina,ARG,1997,33.6
Argentina,ARG,1998,35
Argentina,ARG,1999,35.8
Argentina,ARG,2000,37.2
Argentina,ARG,2001,35.5
Argentina,ARG,2002,37.6
Argentina,ARG,2003,41.2
Argentina,ARG,2004,42.391
Argentina,ARG,2005,42.786
Argentina,ARG,2006,43.921
Argentina,ARG,2007,43.4
Argentina,ARG,2008,43.735
Argentina,ARG,2009,44.301
Argentina,ARG,2010,43.643
Argentina,ARG,2011,44.146
Argentina,ARG,2012,44.13
Argentina,ARG,2013,43.902
Argentina,ARG,2014,43.722
Argentina,ARG,2017,43.474
Argentina,ARG,2018,44.319
Argentina,ARG,2019,44.924
Argentina,ARG,2020,41.021
